Problem,Method,Category,N_Points,Result,Exact,Error,RelError,N_Eval,Time_Mean_us,Time_Std_us,RecursionDepth,FOM_Eval,FOM_Time,Difficulty
Exponential,Midpoint_n50,Newton-Cotes,50,1.718253190762678e+00,1.718281828459045e+00,2.864e-05,1.667e-05,50,0.379200,0.265043,0,2.438674e+07,3.215552e+15,Easy
Exponential,Midpoint_n200,Newton-Cotes,200,1.718280038583445e+00,1.718281828459045e+00,1.790e-06,1.042e-06,200,1.082000,0.004050,0,1.560718e+09,2.884875e+17,Easy
Exponential,Trapezium_n50,Newton-Cotes,50,1.718339104138157e+00,1.718281828459045e+00,5.728e-05,3.333e-05,51,0.282400,0.026143,0,5.977084e+06,1.079431e+15,Easy
Exponential,Trapezium_n200,Newton-Cotes,200,1.718285408211364e+00,1.718281828459045e+00,3.580e-06,2.083e-06,201,1.006800,0.002441,0,3.882379e+08,7.750877e+16,Easy
Exponential,Simpson_n50,Newton-Cotes,50,1.718281829986334e+00,1.718281828459045e+00,1.527e-09,8.888e-10,51,0.299600,0.032992,0,8.405957e+15,1.430921e+24,Easy
Exponential,Simpson_n200,Newton-Cotes,200,1.718281828465012e+00,1.718281828459045e+00,5.967e-12,3.473e-12,201,1.058600,0.005625,0,1.397409e+20,2.653308e+28,Easy
Exponential,Simpson38_n51,Newton-Cotes,51,1.718281831633609e+00,1.718281828459045e+00,3.175e-09,1.848e-09,52,0.309600,0.041639,0,1.908221e+15,3.205022e+23,Easy
Exponential,Boole_n100,Newton-Cotes,100,1.718281828459049e+00,1.718281828459045e+00,3.553e-15,2.068e-15,101,0.561400,0.041661,0,7.844373e+26,1.411260e+35,Easy
Exponential,Gauss2_n25,Gaussian,25,1.718281827440856e+00,1.718281828459045e+00,1.018e-09,5.926e-10,50,0.303100,0.018892,0,1.929182e+16,3.182418e+24,Easy
Exponential,Gauss3_n25,Gaussian,25,1.718281828459042e+00,1.718281828459045e+00,3.553e-15,2.068e-15,75,0.468800,0.018893,0,1.056376e+27,1.690021e+35,Easy
Exponential,Gauss5_n25,Gaussian,25,1.718281828459045e+00,1.718281828459045e+00,0.000e+00,0.000e+00,125,0.706100,0.042122,0,1.000000e+20,1.000000e+20,Easy
Exponential,Gauss7_n25,Gaussian,25,1.718281828459045e+00,1.718281828459045e+00,0.000e+00,0.000e+00,175,0.947300,0.029179,0,1.000000e+20,1.000000e+20,Easy
Exponential,Gauss10_n25,Gaussian,25,1.718281828459045e+00,1.718281828459045e+00,0.000e+00,0.000e+00,250,1.307500,0.029108,0,1.000000e+20,1.000000e+20,Easy
Exponential,Gauss5_n50,Gaussian,50,1.718281828459045e+00,1.718281828459045e+00,0.000e+00,0.000e+00,250,1.350000,0.007483,0,1.000000e+20,1.000000e+20,Easy
Exponential,Romberg_k8,Extrapolation,8,1.718281828459045e+00,1.718281828459045e+00,0.000e+00,0.000e+00,129,1.125500,0.070678,0,1.000000e+20,1.000000e+20,Easy
Exponential,ClenshawCurtis_n50,Chebyshev,50,1.681842964121725e+00,1.718281828459045e+00,3.644e-02,2.121e-02,51,14.130200,2.380835,0,1.476727e+01,5.329936e+07,Easy
Exponential,TanhSinh_lv5,DoubleExp,5,1.718281828459044e+00,1.718281828459045e+00,8.882e-16,5.169e-16,199,40.018600,2.733110,0,1.000000e+20,1.000000e+20,Easy
Exponential,MonteCarlo_1e4,Stochastic,10000,1.717760013415155e+00,1.718281828459045e+00,5.218e-04,3.037e-04,10000,61.269200,0.085524,0,3.672542e+02,5.994108e+10,Easy
Exponential,QuasiMC_1e4,Quasi-Random,10000,1.717988605144658e+00,1.718281828459045e+00,2.932e-04,1.706e-04,10000,157.182200,12.544845,0,1.163062e+03,7.399453e+10,Easy
Polynomial_x7,Midpoint_n50,Newton-Cotes,50,1.248833741615000e-01,1.250000000000000e-01,1.166e-04,9.330e-04,50,0.906800,0.362806,0,1.470417e+06,8.107724e+13,Easy
Polynomial_x7,Midpoint_n200,Newton-Cotes,200,1.249927084928373e-01,1.250000000000000e-01,7.292e-06,5.833e-05,200,3.053800,0.009928,0,9.404493e+07,6.159207e+15,Easy
Polynomial_x7,Trapezium_n50,Newton-Cotes,50,1.252332866720000e-01,1.250000000000000e-01,2.333e-04,1.866e-03,51,0.756700,0.034966,0,3.602881e+05,2.428267e+13,Easy
Polynomial_x7,Trapezium_n200,Newton-Cotes,200,1.250145831510429e-01,1.250000000000000e-01,1.458e-05,1.167e-04,201,2.895700,0.010771,0,2.339382e+07,1.623842e+15,Easy
Polynomial_x7,Simpson_n50,Newton-Cotes,50,1.250001865600001e-01,1.250000000000000e-01,1.866e-07,1.492e-06,51,0.774600,0.035029,0,5.633688e+11,3.709244e+19,Easy
Polynomial_x7,Simpson_n200,Newton-Cotes,200,1.250000007291407e-01,1.250000000000000e-01,7.291e-10,5.833e-09,201,2.944400,0.010984,0,9.357962e+15,6.388230e+23,Easy
Polynomial_x7,Simpson38_n51,Newton-Cotes,51,1.250003875888527e-01,1.250000000000000e-01,3.876e-07,3.101e-06,52,0.796400,0.032318,0,1.280130e+11,8.358459e+18,Easy
Polynomial_x7,Boole_n100,Newton-Cotes,100,1.250000000053333e-01,1.250000000000000e-01,5.333e-12,4.267e-11,101,1.506000,0.040937,0,3.480838e+20,2.334427e+28,Easy
Polynomial_x7,Gauss2_n25,Gaussian,25,1.249998756314074e-01,1.250000000000000e-01,1.244e-07,9.949e-07,50,0.789400,0.007088,0,1.293030e+12,8.189954e+19,Easy
Polynomial_x7,Gauss3_n25,Gaussian,25,1.249999999948800e-01,1.250000000000000e-01,5.120e-12,4.096e-11,75,1.206200,0.017798,0,5.086315e+20,3.162607e+28,Easy
Polynomial_x7,Gauss5_n25,Gaussian,25,1.250000000000000e-01,1.250000000000000e-01,2.776e-17,2.220e-16,125,1.934000,0.011384,0,1.000000e+20,1.000000e+20,Easy
Polynomial_x7,Gauss7_n25,Gaussian,25,1.250000000000000e-01,1.250000000000000e-01,2.776e-17,2.220e-16,175,2.657400,0.021195,0,1.000000e+20,1.000000e+20,Easy
Polynomial_x7,Gauss10_n25,Gaussian,25,1.250000000000000e-01,1.250000000000000e-01,0.000e+00,0.000e+00,250,3.752000,0.017658,0,1.000000e+20,1.000000e+20,Easy
Polynomial_x7,Gauss5_n50,Gaussian,50,1.250000000000000e-01,1.250000000000000e-01,2.776e-17,2.220e-16,250,3.827000,0.012174,0,1.000000e+20,1.000000e+20,Easy
Polynomial_x7,Romberg_k8,Extrapolation,8,1.250000000000000e-01,1.250000000000000e-01,2.776e-17,2.220e-16,129,2.313800,0.042482,0,1.000000e+20,1.000000e+20,Easy
Polynomial_x7,ClenshawCurtis_n50,Chebyshev,50,1.152000800320128e-01,1.250000000000000e-01,9.800e-03,7.840e-02,51,13.573900,0.177175,0,2.041666e+02,7.670970e+08,Easy
Polynomial_x7,TanhSinh_lv5,DoubleExp,5,1.249999999999995e-01,1.250000000000000e-01,4.718e-16,3.775e-15,199,40.354900,0.198485,0,1.000000e+20,1.000000e+20,Easy
Polynomial_x7,MonteCarlo_1e4,Stochastic,10000,1.258346839061348e-01,1.250000000000000e-01,8.347e-04,6.677e-03,10000,167.583200,0.821362,0,1.435344e+02,8.564962e+09,Easy
Polynomial_x7,QuasiMC_1e4,Quasi-Random,10000,1.248314797569158e-01,1.250000000000000e-01,1.685e-04,1.348e-03,10000,336.899200,44.461248,0,3.521242e+03,1.045191e+11,Easy
Sin_10x,Midpoint_n50,Newton-Cotes,50,-1.855546040940592e-15,0.000000000000000e+00,1.856e-15,1.856e-15,50,0.826200,0.548091,0,5.808801e+27,3.515372e+35,Medium
Sin_10x,Midpoint_n200,Newton-Cotes,200,-5.763702692959263e-16,0.000000000000000e+00,5.764e-16,5.764e-16,200,2.654500,0.215269,0,1.000000e+20,1.000000e+20,Medium
Sin_10x,Trapezium_n50,Newton-Cotes,50,-2.608925636510457e-15,0.000000000000000e+00,2.609e-15,2.609e-15,51,0.659800,0.098129,0,2.880756e+27,2.226713e+35,Medium
Sin_10x,Trapezium_n200,Newton-Cotes,200,-5.231802747012947e-16,0.000000000000000e+00,5.232e-16,5.232e-16,201,2.487800,0.181461,0,1.000000e+20,1.000000e+20,Medium
Sin_10x,Simpson_n50,Newton-Cotes,50,-2.939110520988607e-15,0.000000000000000e+00,2.939e-15,2.939e-15,51,0.690100,0.141653,0,2.269854e+27,1.677475e+35,Medium
Sin_10x,Simpson_n200,Newton-Cotes,200,1.069613006055981e-16,0.000000000000000e+00,1.070e-16,1.070e-16,201,2.523100,0.166347,0,1.000000e+20,1.000000e+20,Medium
Sin_10x,Simpson38_n51,Newton-Cotes,51,-1.641349881415827e-16,0.000000000000000e+00,1.641e-16,1.641e-16,52,0.814500,0.321231,0,1.000000e+20,1.000000e+20,Medium
Sin_10x,Boole_n100,Newton-Cotes,100,-2.142946405176503e-15,0.000000000000000e+00,2.143e-15,2.143e-15,101,1.320300,0.253591,0,2.156036e+27,1.649319e+35,Medium
Sin_10x,Gauss2_n25,Gaussian,25,-1.674176879044144e-15,0.000000000000000e+00,1.674e-15,1.674e-15,50,0.668900,0.111686,0,7.135548e+27,5.333793e+35,Medium
Sin_10x,Gauss3_n25,Gaussian,25,-2.507777450068206e-15,0.000000000000000e+00,2.508e-15,2.508e-15,75,1.062300,0.166491,0,2.120122e+27,1.496838e+35,Medium
Sin_10x,Gauss5_n25,Gaussian,25,8.575796669478726e-16,0.000000000000000e+00,8.576e-16,8.576e-16,125,1.584000,0.204847,0,1.000000e+20,1.000000e+20,Medium
Sin_10x,Gauss7_n25,Gaussian,25,-1.458365015729859e-16,0.000000000000000e+00,1.458e-16,1.458e-16,175,3.756300,4.605452,0,1.000000e+20,1.000000e+20,Medium
Sin_10x,Gauss10_n25,Gaussian,25,1.018948082926053e-15,0.000000000000000e+00,1.019e-15,1.019e-15,250,3.116800,0.304307,0,3.852617e+27,3.090203e+35,Medium
Sin_10x,Gauss5_n50,Gaussian,50,-3.547816237818156e-16,0.000000000000000e+00,3.548e-16,3.548e-16,250,4.603200,3.479850,0,1.000000e+20,1.000000e+20,Medium
Sin_10x,Romberg_k8,Extrapolation,8,1.177525824268569e-15,0.000000000000000e+00,1.178e-15,1.178e-15,129,2.322300,0.441597,0,5.590741e+27,3.105566e+35,Medium
Sin_10x,ClenshawCurtis_n50,Chebyshev,50,-2.475296674680502e-16,0.000000000000000e+00,2.475e-16,2.475e-16,51,17.283000,0.653487,0,1.000000e+20,1.000000e+20,Medium
Sin_10x,TanhSinh_lv5,DoubleExp,5,1.283387674022253e-15,0.000000000000000e+00,1.283e-15,1.283e-15,199,51.250200,0.743616,0,3.050923e+27,1.184646e+34,Medium
Sin_10x,MonteCarlo_1e4,Stochastic,10000,6.680972698030132e-03,0.000000000000000e+00,6.681e-03,6.681e-03,10000,218.773200,13.780610,0,2.240374e+00,1.024063e+08,Medium
Sin_10x,QuasiMC_1e4,Quasi-Random,10000,-2.504289581570197e-17,0.000000000000000e+00,2.504e-17,2.504e-17,10000,224.137300,8.747174,0,1.000000e+20,1.000000e+20,Medium
Gaussian,Midpoint_n50,Newton-Cotes,50,1.772415573963649e+00,1.772414696519042e+00,8.774e-07,4.951e-07,50,0.464700,0.277732,0,2.597709e+10,2.795039e+18,Easy
Gaussian,Midpoint_n200,Newton-Cotes,200,1.772414752009742e+00,1.772414696519042e+00,5.549e-08,3.131e-08,200,1.753400,1.119331,0,1.623789e+12,1.852160e+20,Easy
Gaussian,Trapezium_n50,Newton-Cotes,50,1.772412932120333e+00,1.772414696519042e+00,1.764e-06,9.955e-07,51,0.320300,0.028492,0,6.298489e+09,1.002881e+18,Easy
Gaussian,Trapezium_n200,Newton-Cotes,200,1.772414585500177e+00,1.772414696519042e+00,1.110e-07,6.264e-08,201,1.160700,0.008753,0,4.036550e+11,6.990149e+19,Easy
Gaussian,Simpson_n50,Newton-Cotes,50,1.772414647169390e+00,1.772414696519042e+00,4.935e-08,2.784e-08,51,0.546200,0.670965,0,8.051219e+12,7.517615e+20,Easy
Gaussian,Simpson_n200,Newton-Cotes,200,1.772414696319573e+00,1.772414696519042e+00,1.995e-10,1.125e-10,201,1.146600,0.007838,0,1.250405e+17,2.191971e+25,Easy
Gaussian,Simpson38_n51,Newton-Cotes,51,1.772414597318554e+00,1.772414696519042e+00,9.920e-08,5.597e-08,52,0.339400,0.037353,0,1.954200e+12,2.994060e+20,Easy
Gaussian,Boole_n100,Newton-Cotes,100,1.772414696427866e+00,1.772414696519042e+00,9.118e-11,5.144e-11,101,0.615600,0.032650,0,1.191023e+18,1.954082e+26,Easy
Gaussian,Gauss2_n25,Gaussian,25,1.772414729337687e+00,1.772414696519042e+00,3.282e-08,1.852e-08,50,0.332900,0.012421,0,1.856901e+13,2.788977e+21,Easy
Gaussian,Gauss3_n25,Gaussian,25,1.772414696606508e+00,1.772414696519042e+00,8.747e-11,4.935e-11,75,0.514400,0.019648,0,1.742876e+18,2.541129e+26,Easy
Gaussian,Gauss5_n25,Gaussian,25,1.772414696519042e+00,1.772414696519042e+00,2.220e-16,1.253e-16,125,0.795800,0.013629,0,1.000000e+20,1.000000e+20,Easy
Gaussian,Gauss7_n25,Gaussian,25,1.772414696519043e+00,1.772414696519042e+00,1.110e-15,6.264e-16,175,1.075300,0.021401,0,4.635979e+27,7.544838e+35,Easy
Gaussian,Gauss10_n25,Gaussian,25,1.772414696519041e+00,1.772414696519042e+00,6.661e-16,3.758e-16,250,1.485000,0.010440,0,1.000000e+20,1.000000e+20,Easy
Gaussian,Gauss5_n50,Gaussian,50,1.772414696519042e+00,1.772414696519042e+00,2.220e-16,1.253e-16,250,1.525000,0.012931,0,1.000000e+20,1.000000e+20,Easy
Gaussian,Romberg_k8,Extrapolation,8,1.772414696435038e+00,1.772414696519042e+00,8.400e-11,4.740e-11,129,1.197800,0.049671,0,1.098534e+18,1.183093e+26,Easy
Gaussian,ClenshawCurtis_n50,Chebyshev,50,1.772400183644603e+00,1.772414696519042e+00,1.451e-05,8.188e-06,51,13.957600,1.892474,0,9.309427e+07,3.401593e+14,Easy
Gaussian,TanhSinh_lv5,DoubleExp,5,1.772414696519041e+00,1.772414696519042e+00,6.661e-16,3.758e-16,199,38.921300,0.412071,0,1.000000e+20,1.000000e+20,Easy
Gaussian,MonteCarlo_1e4,Stochastic,10000,1.780466855427790e+00,1.772414696519042e+00,8.052e-03,4.543e-03,10000,68.285500,0.040594,0,1.542323e+00,2.258639e+08,Easy
Gaussian,QuasiMC_1e4,Quasi-Random,10000,1.772414679767087e+00,1.772414696519042e+00,1.675e-08,9.451e-09,10000,158.753500,4.361052,0,3.563436e+11,2.244635e+19,Easy
Runge_Function,Midpoint_n50,Newton-Cotes,50,2.746813859774802e-01,5.493603067780064e-01,2.747e-01,5.000e-01,50,0.173800,0.055944,0,2.650814e-01,7.626049e+07,Hard
Runge_Function,Midpoint_n200,Newton-Cotes,200,2.746802304347558e-01,5.493603067780064e-01,2.747e-01,5.000e-01,200,0.505900,0.003646,0,6.626980e-02,2.619878e+07,Hard
Runge_Function,Trapezium_n50,Newton-Cotes,50,2.746776880807906e-01,5.493603067780064e-01,2.747e-01,5.000e-01,51,0.147400,0.009102,0,2.598768e-01,8.991666e+07,Hard
Runge_Function,Trapezium_n200,Newton-Cotes,200,2.746799992969848e-01,5.493603067780064e-01,2.747e-01,5.000e-01,201,0.501700,0.001900,0,6.593999e-02,2.641806e+07,Hard
Runge_Function,Simpson_n50,Newton-Cotes,50,2.746801526895779e-01,5.493603067780064e-01,2.747e-01,5.000e-01,51,0.167100,0.063377,0,2.598814e-01,7.931749e+07,Hard
Runge_Function,Simpson_n200,Newton-Cotes,200,2.746801533862682e-01,5.493603067780064e-01,2.747e-01,5.000e-01,201,0.564900,0.186046,0,6.594007e-02,2.346248e+07,Hard
Runge_Function,Simpson38_n51,Newton-Cotes,51,2.746801518953136e-01,5.493603067780064e-01,2.747e-01,5.000e-01,52,0.174600,0.056401,0,2.548837e-01,7.591038e+07,Hard
Runge_Function,Boole_n100,Newton-Cotes,100,2.746801533889618e-01,5.493603067780064e-01,2.747e-01,5.000e-01,101,0.307800,0.102824,0,1.312273e-01,4.306028e+07,Hard
Runge_Function,Gauss2_n25,Gaussian,25,2.746801538552499e-01,5.493603067780064e-01,2.747e-01,5.000e-01,50,0.113900,0.008479,0,2.650791e-01,1.163648e+08,Hard
Runge_Function,Gauss3_n25,Gaussian,25,2.746801533890429e-01,5.493603067780064e-01,2.747e-01,5.000e-01,75,0.245700,0.094067,0,1.767194e-01,5.394364e+07,Hard
Runge_Function,Gauss5_n25,Gaussian,25,2.746801533890033e-01,5.493603067780064e-01,2.747e-01,5.000e-01,125,0.565700,0.246906,0,1.060316e-01,2.342930e+07,Hard
Runge_Function,Gauss7_n25,Gaussian,25,2.746801533890032e-01,5.493603067780064e-01,2.747e-01,5.000e-01,175,0.452500,0.008053,0,7.573688e-02,2.929050e+07,Hard
Runge_Function,Gauss10_n25,Gaussian,25,2.746801533890033e-01,5.493603067780064e-01,2.747e-01,5.000e-01,250,0.629600,0.010121,0,5.301581e-02,2.105139e+07,Hard
Runge_Function,Gauss5_n50,Gaussian,50,2.746801533890033e-01,5.493603067780064e-01,2.747e-01,5.000e-01,250,0.626300,0.003976,0,5.301581e-02,2.116231e+07,Hard
Runge_Function,Romberg_k8,Extrapolation,8,2.746801534345152e-01,5.493603067780064e-01,2.747e-01,5.000e-01,129,0.702700,0.040822,0,1.027438e-01,1.886147e+07,Hard
Runge_Function,ClenshawCurtis_n50,Chebyshev,50,2.645033134222472e-01,5.493603067780064e-01,2.849e-01,5.185e-01,51,12.581700,0.121904,0,2.416440e-01,9.795056e+05,Hard
Runge_Function,TanhSinh_lv5,DoubleExp,5,2.746801533890030e-01,5.493603067780064e-01,2.747e-01,5.000e-01,199,37.340100,0.231417,0,6.660278e-02,3.549523e+05,Hard
Runge_Function,MonteCarlo_1e4,Stochastic,10000,2.726341165285389e-01,5.493603067780064e-01,2.767e-01,5.037e-01,10000,24.572300,0.015466,0,1.305869e-03,5.314393e+05,Hard
Runge_Function,QuasiMC_1e4,Quasi-Random,10000,2.748446258921007e-01,5.493603067780064e-01,2.745e-01,4.997e-01,10000,147.143400,11.253239,0,1.326984e-03,9.018305e+04,Hard
